City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hermanus,-34.4187,19.2345,289.15,55,1,3.85,ZA,1674626949
84,kloulklubed,7.0419,134.2556,301.02,79,77,7.08,PW,1674626950
85,kavaratti,10.5669,72.642,298.85,81,100,6.74,IN,1674626950
86,mujiayingzi,42.1167,118.7833,263.15,32,34,5.93,CN,1674626950
87,qena,26.1615,32.7183,287.67,50,0,1.35,EG,1674626951
88,lahad datu,5.0268,118.327,300.19,84,83,1.52,MY,1674626951
89,port pirie,-33.1833,138.0167,300.61,39,0,7.43,AU,1674626952
90,aklavik,68.2191,-135.0107,253.44,92,100,5.24,CA,1674626952
91,tommot,58.9564,126.2925,242.83,93,92,0.53,RU,1674626952
92,lavrentiya,65.5833,-171.0,246.89,92,5,6.16,RU,1674626952
93,punta arenas,-53.15,-70.9167,284.21,46,75,10.29,CL,1674626953
94,ponta do sol,32.6667,-17.1,288.5,52,5,4.36,PT,1674626953
95,hilo,19.7297,-155.09,296.08,90,40,2.06,US,1674626892
96,nata,8.3333,-80.5167,296.72,85,26,2.49,PA,1674626953
97,taksimo,56.3444,114.8794,246.76,81,100,0.53,RU,1674626700
98,atar,20.5169,-13.0499,292.49,18,4,2.78,MR,1674626954
99,buchanan,5.8808,-10.0467,297.46,88,84,3.11,LR,1674626724
100,pisco,-13.7,-76.2167,294.18,83,40,0.51,PE,1674626954
101,contai,21.7786,87.7536,301.73,39,22,1.62,IN,1674626955
102,rocha,-34.4833,-54.3333,290.18,67,100,3.33,UY,1674626955
103,tonj,7.2737,28.6822,300.37,25,32,2.76,SS,1674626956
104,geraldton,-28.7667,114.6,302.38,48,0,9.77,AU,1674626956
105,sao joao da barra,-21.6403,-41.0511,295.68,96,100,2.38,BR,1674626956
106,port elizabeth,-33.918,25.5701,293.2,72,77,2.24,ZA,1674626957
107,rio grande,-32.035,-52.0986,294.09,78,13,2.97,BR,1674626957
108,puerto ayora,-0.7393,-90.3518,296.79,96,14,2.31,EC,1674626836
109,breyten,-26.3018,29.987,288.51,76,53,5.35,ZA,1674626957
110,mar del plata,-38.0023,-57.5575,292.09,73,56,6.26,AR,1674626958
111,saskylakh,71.9167,114.0833,247.14,99,100,2.2,RU,1674626958
112,hamilton,39.1834,-84.5333,277.03,81,100,6.17,US,1674626959
113,snezhnogorsk,69.1933,33.2531,269.03,89,100,4.12,RU,1674626959
114,noumea,-22.2763,166.4572,299.14,82,23,4.66,NC,1674626848
115,salalah,17.0151,54.0924,298.2,61,75,4.63,OM,1674626960
116,richards bay,-28.783,32.0377,296.93,86,95,8.51,ZA,1674626960
117,saldanha,-33.0117,17.9442,290.7,61,0,8.65,ZA,1674626960
118,saint george,37.1041,-113.5841,276.17,53,0,3.09,US,1674626940
119,iqaluit,63.7506,-68.5145,241.31,67,63,12.96,CA,1674626961
120,kanata,45.3159,-75.8985,256.47,98,40,1.14,CA,1674626961
121,son la,21.3167,103.9,293.57,39,56,0.77,VN,1674626961
122,tasiilaq,65.6145,-37.6368,266.24,65,74,2.63,GL,1674626962
123,byron bay,-28.65,153.6167,304.23,65,64,5.79,AU,1674626834
124,raga,8.4596,25.678,295.71,30,93,2.38,SS,1674626962
125,suoyarvi,62.0833,32.35,273.05,96,100,7.31,RU,1674626962
126,daru,-9.0763,143.2092,302.48,70,97,4.22,PG,1674626963
127,plettenberg bay,-34.0527,23.3716,292.23,54,89,0.42,ZA,1674626845
128,sao raimundo das mangabeiras,-7.0219,-45.4811,296.37,88,70,1.1,BR,1674626963
129,avarua,-21.2078,-159.775,299.18,83,23,2.06,CK,1674626963
130,yumen,40.2833,97.2,265.0,34,100,11.44,CN,1674626964
131,damghan,36.1683,54.348,272.72,45,0,0.53,IR,1674626964
132,manado,1.487,124.8455,302.58,74,40,3.09,ID,1674626964
133,whitehorse,60.7161,-135.0538,268.25,92,100,2.69,CA,1674626965
134,castro,-24.7911,-50.0119,288.74,87,0,1.22,BR,1674626965
135,lorengau,-2.0226,147.2712,301.34,72,89,3.1,PG,1674626965
136,northam,51.0333,-4.2167,278.49,97,67,1.35,GB,1674626966
137,pangkalanbuun,-2.6833,111.6167,298.09,92,100,2.03,ID,1674626966
138,morondava,-20.2833,44.2833,298.82,94,100,19.07,MG,1674626966
139,lewistown,40.5992,-77.5714,271.38,96,0,0.0,US,1674626880
140,lagoa,39.05,-27.9833,288.14,85,15,7.39,PT,1674626967
141,longyearbyen,78.2186,15.6401,268.06,68,75,6.69,SJ,1674626968
142,shaoyang,27.2315,111.4525,280.31,26,5,1.99,CN,1674626968
143,te horo,-40.8084,175.1233,292.88,68,33,1.7,NZ,1674626969
144,oranjemund,-28.55,16.4333,290.05,69,0,6.97,NA,1674626970
145,batemans bay,-35.7167,150.1833,297.09,63,4,4.85,AU,1674626970
146,varkaus,62.3153,27.873,273.32,97,100,6.92,FI,1674626970
147,broome,42.2506,-75.833,271.36,80,100,2.06,US,1674626971
148,atuona,-9.8,-139.0333,298.98,78,13,7.62,PF,1674626971
149,solnechnyy,50.7214,136.6319,249.53,95,100,3.36,RU,1674626972
150,turayf,31.6725,38.6637,281.92,63,85,3.33,SA,1674626972
151,warri,5.5167,5.75,298.03,90,4,0.67,NG,1674626972
152,wabana,47.6332,-52.9481,273.92,87,75,12.35,CA,1674626973
153,torbay,47.6666,-52.7314,274.03,87,75,12.35,CA,1674626973
154,sitka,57.0531,-135.33,282.09,87,100,3.09,US,1674626973
155,riyadh,24.6877,46.7219,286.23,83,27,5.05,SA,1674626952
156,brae,60.3964,-1.353,280.73,81,87,11.72,GB,1674626974
157,podosinovets,60.2776,47.0659,263.18,97,95,3.2,RU,1674626974
158,arman,59.7,150.1667,258.16,90,100,4.94,RU,1674626975
159,omsukchan,62.5333,155.8,245.13,98,94,2.31,RU,1674626975
160,eirunepe,-6.6603,-69.8736,294.71,99,55,0.91,BR,1674626975
161,villazon,-22.0866,-65.5942,283.84,68,100,0.23,BO,1674626975
162,makakilo city,21.3469,-158.0858,297.35,75,0,4.12,US,1674626976
163,mahebourg,-20.4081,57.7,296.62,93,100,3.81,MU,1674626976
